station_id	stationname	date	daytype	rides
54347	40590	Damen/Milwaukee	2018-12-20	W	6604
54348	40590	Damen/Milwaukee	2018-12-21	W	6153
54349	40590	Damen/Milwaukee	2018-12-22	A	3623
54350	40590	Damen/Milwaukee	2018-12-23	U	2625
54351	40590	Damen/Milwaukee	2018-12-24	W	1931
54352	40590	Damen/Milwaukee	2018-12-25	U	611
54353	40590	Damen/Milwaukee	2018-12-26	W	3185
54354	40590	Damen/Milwaukee	2018-12-27	W	3696
54355	40590	Damen/Milwaukee	2018-12-28	W	4495
54356	40590	Damen/Milwaukee	2018-12-29	A	3250
54357	40590	Damen/Milwaukee	2018-12-30	U	2974
54358	40590	Damen/Milwaukee	2018-12-31	W	3635
58805	40590	Damen/Milwaukee	2019-01-01	U	3528
58806	40590	Damen/Milwaukee	2019-01-02	W	5468
58807	40590	Damen/Milwaukee	2019-01-03	W	5959
58808	40590	Damen/Milwaukee	2019-01-04	W	6131
58809	40590	Damen/Milwaukee	2019-01-05	A	3762
58810	40590	Damen/Milwaukee	2019-01-06	U	2498
58811	40590	Damen/Milwaukee	2019-01-07	W	5772
58812	40590	Damen/Milwaukee	2019-01-08	W	6033
58813	40590	Damen/Milwaukee	2019-01-09	W	6037
58814	40590	Damen/Milwaukee	2019-01-10	W	6080
58815	40590	Damen/Milwaukee	2019-01-11	W	6347
58816	40590	Damen/Milwaukee	2019-01-12	A	3371
58817	40590	Damen/Milwaukee	2019-01-13	U	2563
58818	40590	Damen/Milwaukee	2019-01-14	W	5907
58819	40590	Damen/Milwaukee	2019-01-15	W	6017
58820	40590	Damen/Milwaukee	2019-01-16	W	6138
58821	40590	Damen/Milwaukee	2019-01-17	W	6334
58822	40590	Damen/Milwaukee	2019-01-18	W	6454
58823	40590	Damen/Milwaukee	2019-01-19	A	3225
58824	40590	Damen/Milwaukee	2019-01-20	U	2341
58825	40590	Damen/Milwaukee	2019-01-21	W	3758
58826	40590	Damen/Milwaukee	2019-01-22	W	5909
58827	40590	Damen/Milwaukee	2019-01-23	W	6082
58828	40590	Damen/Milwaukee	2019-01-24	W	6123
58829	40590	Damen/Milwaukee	2019-01-25	W	5095
58830	40590	Damen/Milwaukee	2019-01-26	A	2891
58831	40590	Damen/Milwaukee	2019-01-27	U	2201
58832	40590	Damen/Milwaukee	2019-01-28	W	5907
58833	40590	Damen/Milwaukee	2019-01-29	W	4660
